Epoch,Train Loss,Train Accuracy,Train F1,Val Loss,Val Accuracy,Val F1,Mem Util,CPU Util,GPU Util
1,0.556740023002905,83.49917500471098,0.8036532677057697,0.4420845779817446,95.74585432216789,0.9547481226533167,11519.986829727188 11520.0 11520.0 11520.0 11520.0 11520.0 11520.0 11520.0 11520.0 11520.0 11520.0 11520.0 11520.0 11520.0 11520.0 11520.0 11520.0 11520.0 11520.0 11520.0,3.813170272812799 1.2471307619943495 0.9370649106303016 4.480432737535282 1.5147695202257585 2.5459078080903237 1.8877704609595076 1.183254938852302 1.2185324553151442 1.4437441204139287 1.7363123236124078 0.14393226716838983 0.6359360301034785 1.4931326434619008 1.6687676387582329 0.17375352775164438 0.20385700846660168 0.3689557855127039 0.4555032925682111 0.6238005644402708,17.11853245531515 16.1906553778614 15.546252743806827 15.345876450297887 17.670429601756037 14.926309187833176 15.505801191596117 16.995296331138288 16.263405456255892 15.064283474443393 15.880213232988405 16.99968642207587 17.216368767638755 16.334901222953903 15.628410159924755 16.887111947318903 15.93383505801192 15.307306365631867 15.30322985261838 16.020696142991536
2,0.3932032093230416,95.79872872592232,0.9562654597126466,0.36815348723734476,95.97382064198257,0.9578813754904223,11519.986829727188 11520.0 11520.0 11520.0 11520.0 11520.0 11520.0 11520.0 11520.0 11520.0 11520.0 11520.0 11520.0 11520.0 11520.0 11520.0 11520.0 11520.0 11520.0 11520.0,3.813170272812799 1.2471307619943495 0.9370649106303016 4.480432737535282 1.5147695202257585 2.5459078080903237 1.8877704609595076 1.183254938852302 1.2185324553151442 1.4437441204139287 1.7363123236124078 0.14393226716838983 0.6359360301034785 1.4931326434619008 1.6687676387582329 0.17375352775164438 0.20385700846660168 0.3689557855127039 0.4555032925682111 0.6238005644402708,17.11853245531515 16.1906553778614 15.546252743806827 15.345876450297887 17.670429601756037 14.926309187833176 15.505801191596117 16.995296331138288 16.263405456255892 15.064283474443393 15.880213232988405 16.99968642207587 17.216368767638755 16.334901222953903 15.628410159924755 16.887111947318903 15.93383505801192 15.307306365631867 15.30322985261838 16.020696142991536
3,0.36250880984699024,95.75874288183034,0.9558878361712095,0.35547194338618043,96.19627164760819,0.9609836127401987,11519.986829727188 11520.0 11520.0 11520.0 11520.0 11520.0 11520.0 11520.0 11520.0 11520.0 11520.0 11520.0 11520.0 11520.0 11520.0 11520.0 11520.0 11520.0 11520.0 11520.0,3.813170272812799 1.2471307619943495 0.9370649106303016 4.480432737535282 1.5147695202257585 2.5459078080903237 1.8877704609595076 1.183254938852302 1.2185324553151442 1.4437441204139287 1.7363123236124078 0.14393226716838983 0.6359360301034785 1.4931326434619008 1.6687676387582329 0.17375352775164438 0.20385700846660168 0.3689557855127039 0.4555032925682111 0.6238005644402708,17.11853245531515 16.1906553778614 15.546252743806827 15.345876450297887 17.670429601756037 14.926309187833176 15.505801191596117 16.995296331138288 16.263405456255892 15.064283474443393 15.880213232988405 16.99968642207587 17.216368767638755 16.334901222953903 15.628410159924755 16.887111947318903 15.93383505801192 15.307306365631867 15.30322985261838 16.020696142991536
4,0.3546969950199127,96.0404822200876,0.958472921838471,0.40121179071446483,91.31154171415965,0.9035076973334967,11519.986829727188 11520.0 11520.0 11520.0 11520.0 11520.0 11520.0 11520.0 11520.0 11520.0 11520.0 11520.0 11520.0 11520.0 11520.0 11520.0 11520.0 11520.0 11520.0 11520.0,3.813170272812799 1.2471307619943495 0.9370649106303016 4.480432737535282 1.5147695202257585 2.5459078080903237 1.8877704609595076 1.183254938852302 1.2185324553151442 1.4437441204139287 1.7363123236124078 0.14393226716838983 0.6359360301034785 1.4931326434619008 1.6687676387582329 0.17375352775164438 0.20385700846660168 0.3689557855127039 0.4555032925682111 0.6238005644402708,17.11853245531515 16.1906553778614 15.546252743806827 15.345876450297887 17.670429601756037 14.926309187833176 15.505801191596117 16.995296331138288 16.263405456255892 15.064283474443393 15.880213232988405 16.99968642207587 17.216368767638755 16.334901222953903 15.628410159924755 16.887111947318903 15.93383505801192 15.307306365631867 15.30322985261838 16.020696142991536
5,0.45874822648132546,85.49157309825947,0.8405795637616092,0.7500764872829068,56.0190462183329,0.5654551068969902,11519.986829727188 11520.0 11520.0 11520.0 11520.0 11520.0 11520.0 11520.0 11520.0 11520.0 11520.0 11520.0 11520.0 11520.0 11520.0 11520.0 11520.0 11520.0 11520.0 11520.0,3.813170272812799 1.2471307619943495 0.9370649106303016 4.480432737535282 1.5147695202257585 2.5459078080903237 1.8877704609595076 1.183254938852302 1.2185324553151442 1.4437441204139287 1.7363123236124078 0.14393226716838983 0.6359360301034785 1.4931326434619008 1.6687676387582329 0.17375352775164438 0.20385700846660168 0.3689557855127039 0.4555032925682111 0.6238005644402708,17.11853245531515 16.1906553778614 15.546252743806827 15.345876450297887 17.670429601756037 14.926309187833176 15.505801191596117 16.995296331138288 16.263405456255892 15.064283474443393 15.880213232988405 16.99968642207587 17.216368767638755 16.334901222953903 15.628410159924755 16.887111947318903 15.93383505801192 15.307306365631867 15.30322985261838 16.020696142991536
6,0.4415725703099195,86.9595591445787,0.8586811971729267,0.36748779396644893,94.61153803728352,0.9433064469332095,11519.986829727188 11520.0 11520.0 11520.0 11520.0 11520.0 11520.0 11520.0 11520.0 11520.0 11520.0 11520.0 11520.0 11520.0 11520.0 11520.0 11520.0 11520.0 11520.0 11520.0,3.813170272812799 1.2471307619943495 0.9370649106303016 4.480432737535282 1.5147695202257585 2.5459078080903237 1.8877704609595076 1.183254938852302 1.2185324553151442 1.4437441204139287 1.7363123236124078 0.14393226716838983 0.6359360301034785 1.4931326434619008 1.6687676387582329 0.17375352775164438 0.20385700846660168 0.3689557855127039 0.4555032925682111 0.6238005644402708,17.11853245531515 16.1906553778614 15.546252743806827 15.345876450297887 17.670429601756037 14.926309187833176 15.505801191596117 16.995296331138288 16.263405456255892 15.064283474443393 15.880213232988405 16.99968642207587 17.216368767638755 16.334901222953903 15.628410159924755 16.887111947318903 15.93383505801192 15.307306365631867 15.30322985261838 16.020696142991536
7,0.37438158925841836,93.89733289823832,0.935299964916384,0.35945791915707254,95.4241276611391,0.9513933641884899,11519.986829727188 11520.0 11520.0 11520.0 11520.0 11520.0 11520.0 11520.0 11520.0 11520.0 11520.0 11520.0 11520.0 11520.0 11520.0 11520.0 11520.0 11520.0 11520.0 11520.0,3.813170272812799 1.2471307619943495 0.9370649106303016 4.480432737535282 1.5147695202257585 2.5459078080903237 1.8877704609595076 1.183254938852302 1.2185324553151442 1.4437441204139287 1.7363123236124078 0.14393226716838983 0.6359360301034785 1.4931326434619008 1.6687676387582329 0.17375352775164438 0.20385700846660168 0.3689557855127039 0.4555032925682111 0.6238005644402708,17.11853245531515 16.1906553778614 15.546252743806827 15.345876450297887 17.670429601756037 14.926309187833176 15.505801191596117 16.995296331138288 16.263405456255892 15.064283474443393 15.880213232988405 16.99968642207587 17.216368767638755 16.334901222953903 15.628410159924755 16.887111947318903 15.93383505801192 15.307306365631867 15.30322985261838 16.020696142991536
8,0.3681080018772798,94.51320681873544,0.9416097665955824,0.3437251924973146,96.97576938632938,0.968347732389217,11519.986829727188 11520.0 11520.0 11520.0 11520.0 11520.0 11520.0 11520.0 11520.0 11520.0 11520.0 11520.0 11520.0 11520.0 11520.0 11520.0 11520.0 11520.0 11520.0 11520.0,3.813170272812799 1.2471307619943495 0.9370649106303016 4.480432737535282 1.5147695202257585 2.5459078080903237 1.8877704609595076 1.183254938852302 1.2185324553151442 1.4437441204139287 1.7363123236124078 0.14393226716838983 0.6359360301034785 1.4931326434619008 1.6687676387582329 0.17375352775164438 0.20385700846660168 0.3689557855127039 0.4555032925682111 0.6238005644402708,17.11853245531515 16.1906553778614 15.546252743806827 15.345876450297887 17.670429601756037 14.926309187833176 15.505801191596117 16.995296331138288 16.263405456255892 15.064283474443393 15.880213232988405 16.99968642207587 17.216368767638755 16.334901222953903 15.628410159924755 16.887111947318903 15.93383505801192 15.307306365631867 15.30322985261838 16.020696142991536
9,0.36308249557719513,95.02199221425059,0.9470120593918936,0.38219926310106295,93.11872633010994,0.9248378481495613,11519.986829727188 11520.0 11520.0 11520.0 11520.0 11520.0 11520.0 11520.0 11520.0 11520.0 11520.0 11520.0 11520.0 11520.0 11520.0 11520.0 11520.0 11520.0 11520.0 11520.0,3.813170272812799 1.2471307619943495 0.9370649106303016 4.480432737535282 1.5147695202257585 2.5459078080903237 1.8877704609595076 1.183254938852302 1.2185324553151442 1.4437441204139287 1.7363123236124078 0.14393226716838983 0.6359360301034785 1.4931326434619008 1.6687676387582329 0.17375352775164438 0.20385700846660168 0.3689557855127039 0.4555032925682111 0.6238005644402708,17.11853245531515 16.1906553778614 15.546252743806827 15.345876450297887 17.670429601756037 14.926309187833176 15.505801191596117 16.995296331138288 16.263405456255892 15.064283474443393 15.880213232988405 16.99968642207587 17.216368767638755 16.334901222953903 15.628410159924755 16.887111947318903 15.93383505801192 15.307306365631867 15.30322985261838 16.020696142991536
10,0.37702548188321733,93.6257049228549,0.931820528072599,0.43945562040235564,87.40853770636467,0.858926033491936,11519.986829727188 11520.0 11520.0 11520.0 11520.0 11520.0 11520.0 11520.0 11520.0 11520.0 11520.0 11520.0 11520.0 11520.0 11520.0 11520.0 11520.0 11520.0 11520.0 11520.0,3.813170272812799 1.2471307619943495 0.9370649106303016 4.480432737535282 1.5147695202257585 2.5459078080903237 1.8877704609595076 1.183254938852302 1.2185324553151442 1.4437441204139287 1.7363123236124078 0.14393226716838983 0.6359360301034785 1.4931326434619008 1.6687676387582329 0.17375352775164438 0.20385700846660168 0.3689557855127039 0.4555032925682111 0.6238005644402708,17.11853245531515 16.1906553778614 15.546252743806827 15.345876450297887 17.670429601756037 14.926309187833176 15.505801191596117 16.995296331138288 16.263405456255892 15.064283474443393 15.880213232988405 16.99968642207587 17.216368767638755 16.334901222953903 15.628410159924755 16.887111947318903 15.93383505801192 15.307306365631867 15.30322985261838 16.020696142991536
